"wave","include_random_effects","length","measure","pearson_cor_value","pearson_cor_df","pearson_cor_p","pearson_cor_95_conf_lower","pearson_cor_95_conf_upper"
1,FALSE,1,"active_engagement",0.18840653557346,69,0.115605311933948,-0.046961432809971,0.403954084789843
1,FALSE,2,"active_engagement",0.270312651660983,69,0.022614331311716,0.0394999820195048,0.473739996092935
1,FALSE,3,"active_engagement",0.241133324401087,69,0.042789492047758,0.00829631887005432,0.449168073187157
1,FALSE,4,"active_engagement",0.343088538831552,69,0.0033998293794571,0.119336995828779,0.533674887107918
1,FALSE,5,"active_engagement",0.268178108982144,69,0.0237473711132602,0.0372019901231245,0.471953170632324
1,FALSE,6,"active_engagement",0.227124563306766,69,0.0568072896535592,-0.00652491979727927,0.437258407795666
1,FALSE,7,"active_engagement",0.263250211964039,69,0.0265483124510131,0.0319060606319574,0.467821624862833
1,FALSE,8,"active_engagement",0.305159200521903,69,0.00966142783214843,0.07736333192097,0.502675091552663
1,FALSE,9,"active_engagement",0.331569640709538,69,0.00473334020738259,0.106504733133433,0.524314290315128
1,FALSE,10,"active_engagement",0.314672176812323,69,0.00752495145424456,0.087815334749381,0.510498104104983
1,FALSE,11,"active_engagement",0.347079058142431,69,0.00302285119110368,0.123800010116621,0.536906846104388
1,FALSE,12,"active_engagement",0.358085245413819,69,0.00216881758320643,0.136156372056319,0.545792076759479
1,FALSE,13,"active_engagement",0.392212851958028,69,0.000717469024778296,0.174914632903222,0.573077305942167
1,FALSE,14,"active_engagement",0.393654342829145,69,0.00068289763043185,0.176566673590665,0.574221027380848
1,FALSE,15,"active_engagement",0.371873951038356,69,0.00140706495635984,0.151734651841122,0.556864365843585
1,FALSE,16,"active_engagement",0.366340602887985,69,0.00167767382501489,0.145469989621748,0.552428987865615
1,FALSE,17,"active_engagement",0.366923601784022,69,0.00164710561660597,0.146129206790243,0.552896800725726
1,FALSE,18,"active_engagement",0.349632604278897,69,0.00280163844356166,0.126660654820351,0.538972067650291
1,FALSE,19,"active_engagement",0.348130796387721,69,0.00292991920999072,0.124977784838345,0.537757731988106
1,FALSE,20,"active_engagement",0.356319695006525,69,0.00228926271766422,0.134169573565702,0.544369595204382
1,FALSE,21,"active_engagement",0.364990831579138,69,0.0017504134654423,0.143944508436835,0.551345447625327
1,FALSE,22,"active_engagement",0.348097676506693,69,0.00293280635987743,0.124940686398382,0.537730942960316
1,FALSE,23,"active_engagement",0.360284034148829,69,0.00202677661397169,0.138633198184904,0.547562101496481
1,FALSE,24,"active_engagement",0.339332019585607,69,0.00379237192620802,0.115143934578727,0.530627351412743
1,FALSE,25,"active_engagement",0.336083974711754,69,0.00416372109488248,0.11152486592645,0.527988330554518
1,FALSE,1,"perceptual_abilities",0.186394459765073,69,0.119616878493386,-0.0490419376810997,0.40220758428198
1,FALSE,2,"perceptual_abilities",0.185547033379144,69,0.121338005592156,-0.0499175733264571,0.401471539936662
1,FALSE,3,"perceptual_abilities",0.174196536871884,69,0.146255267303851,-0.0616111162471253,0.391585943120627
1,FALSE,4,"perceptual_abilities",0.271649870409906,69,0.0219281941919563,0.0409408411242106,0.474858529135632
1,FALSE,5,"perceptual_abilities",0.225396777920762,69,0.0587694559499368,-0.00834582917246507,0.435784393143128
1,FALSE,6,"perceptual_abilities",0.202492920579274,69,0.0903520931229577,-0.0323385633671706,0.416137346604678
1,FALSE,7,"perceptual_abilities",0.196474679720886,69,0.100550898212061,-0.0385983355246267,0.410941560926776
1,FALSE,8,"perceptual_abilities",0.268012242416961,69,0.0238373968204483,0.0370235248172806,0.471814253614377
1,FALSE,9,"perceptual_abilities",0.275623386400591,69,0.0199929458339599,0.0452279915236016,0.478178356082262
1,FALSE,10,"perceptual_abilities",0.265238587254932,69,0.0253862644140895,0.0340413725607749,0.469489754102808
1,FALSE,11,"perceptual_abilities",0.300624450525685,69,0.0108539958197245,0.0723985172769435,0.498934511152701
1,FALSE,12,"perceptual_abilities",0.301642399266964,69,0.0105756952591261,0.0735120221563652,0.499774830437204
1,FALSE,13,"perceptual_abilities",0.341129498886262,69,0.00359977984973707,0.117149301163364,0.532086202299622
1,FALSE,14,"perceptual_abilities",0.346341691324268,69,0.00308956404599497,0.122974654909357,0.536310065178604
1,FALSE,15,"perceptual_abilities",0.34763089491022,69,0.00297376790257051,0.124417898556467,0.537353345766018
1,FALSE,16,"perceptual_abilities",0.338185483046134,69,0.0039199506092821,0.113865749307482,0.529696219313
1,FALSE,17,"perceptual_abilities",0.34545801506361,69,0.00317124146170431,0.121985938344643,0.535594619766929
1,FALSE,18,"perceptual_abilities",0.347760648079571,69,0.00296233074024664,0.124563207572941,0.537458315620001
1,FALSE,19,"perceptual_abilities",0.355900999218216,69,0.00231869058012284,0.133698671200739,0.54403209859626
1,FALSE,20,"perceptual_abilities",0.35511361361606,69,0.00237495076792299,0.132813379310754,0.543397248590206
1,FALSE,21,"perceptual_abilities",0.360112109430551,69,0.00203757422659393,0.13843943356343,0.547423762486797
1,FALSE,22,"perceptual_abilities",0.340110765252814,69,0.00370783614393097,0.116012521704594,0.531259527801128
1,FALSE,23,"perceptual_abilities",0.355746929003823,69,0.00232960432381563,0.133525415443571,0.543907892449091
1,FALSE,24,"perceptual_abilities",0.356739653312731,69,0.00226008264113447,0.134641996675089,0.544708048340699
1,FALSE,25,"perceptual_abilities",0.365579360887715,69,0.00171835578341654,0.144609521884257,0.551817971777229
1,FALSE,1,"musical_training",0.128225483971128,69,0.286570224139658,-0.108318655118119,0.35102804413041
